"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 18 00:58:56 EEST 2024","Tue Jun 18 00:59:00 EEST 2024","3753","Chrome","verifyTitle.spec.js","","","","Verify the title@e2e",""
"passed","Tue Jun 18 00:07:38 EEST 2024","Tue Jun 18 00:07:45 EEST 2024","6703","Mobile Safari","searchItem.spec.js","Search","","","Search item",""
"passed","Tue Jun 18 20:18:35 EEST 2024","Tue Jun 18 20:18:37 EEST 2024","2170","MobileSafari","verifyTitle.spec.js","","","","Verify the title@sanity",""
"passed","Tue Jun 18 00:07:35 EEST 2024","Tue Jun 18 00:07:40 EEST 2024","4340","Mobile Chrome","searchItem.spec.js","Search","","","Search item",""
"passed","Tue Jun 18 01:00:55 EEST 2024","Tue Jun 18 01:00:57 EEST 2024","1624","MobileChrome","verifyTitle.spec.js","","","","Verify the title@e2e",""
"passed","Tue Jun 18 20:18:31 EEST 2024","Tue Jun 18 20:18:40 EEST 2024","8841","Chrome","searchItem.spec.js","","","","Search item@e2e",""
"passed","Tue Jun 18 00:46:32 EEST 2024","Tue Jun 18 00:46:33 EEST 2024","1117","Mobile Chrome","verifyTitle.spec.js","","","","Verify the title@sanity",""
"passed","Tue Jun 18 00:46:34 EEST 2024","Tue Jun 18 00:46:39 EEST 2024","5906","Mobile Safari","searchItem.spec.js","","","","Search item@e2e",""
"passed","Tue Jun 18 20:18:35 EEST 2024","Tue Jun 18 20:18:47 EEST 2024","12706","MobileSafari","searchItem.spec.js","","","","Search item@e2e",""
"passed","Tue Jun 18 00:46:39 EEST 2024","Tue Jun 18 00:46:41 EEST 2024","1557","Mobile Safari","verifyTitle.spec.js","","","","Verify the title@sanity",""
"passed","Tue Jun 18 20:18:31 EEST 2024","Tue Jun 18 20:18:34 EEST 2024","2721","Chrome","verifyTitle.spec.js","","","","Verify the title@sanity",""
"passed","Tue Jun 18 00:57:27 EEST 2024","Tue Jun 18 00:57:34 EEST 2024","7393","Chrome","searchItem.spec.js","Search@e2e","","","Search item",""
"passed","Tue Jun 18 00:07:39 EEST 2024","Tue Jun 18 00:07:41 EEST 2024","1836","Mobile Safari","verifyTitle.spec.js","Title","","","Verify the title",""
"passed","Tue Jun 18 00:07:35 EEST 2024","Tue Jun 18 00:07:38 EEST 2024","2530","Chrome","verifyTitle.spec.js","Title","","","Verify the title",""
"passed","Tue Jun 18 00:58:43 EEST 2024","Tue Jun 18 00:58:50 EEST 2024","7350","Chrome","searchItem.spec.js","","","","Search item@sanity",""
"passed","Tue Jun 18 00:07:35 EEST 2024","Tue Jun 18 00:07:42 EEST 2024","6722","Chrome","searchItem.spec.js","Search","","","Search item",""
"passed","Tue Jun 18 20:18:31 EEST 2024","Tue Jun 18 20:18:34 EEST 2024","2469","MobileChrome","verifyTitle.spec.js","","","","Verify the title@sanity",""
"passed","Tue Jun 18 20:18:31 EEST 2024","Tue Jun 18 20:18:41 EEST 2024","9585","MobileChrome","searchItem.spec.js","","","","Search item@e2e",""
"passed","Tue Jun 18 00:07:35 EEST 2024","Tue Jun 18 00:07:38 EEST 2024","2124","Mobile Chrome","verifyTitle.spec.js","Title","","","Verify the title",""
"passed","Tue Jun 18 00:46:28 EEST 2024","Tue Jun 18 00:46:32 EEST 2024","3799","Mobile Chrome","searchItem.spec.js","","","","Search item@e2e",""
"passed","Tue Jun 18 00:57:53 EEST 2024","Tue Jun 18 00:57:57 EEST 2024","3888","Chrome","verifyTitle.spec.js","Title@sanity","","","Verify the title",""
"passed","Tue Jun 18 19:51:20 EEST 2024","Tue Jun 18 19:51:34 EEST 2024","14596","Safari","searchItem.spec.js","","","","Search item@e2e",""
